000002	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
000004	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000005	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000006	0 0 9 6 2 2 6 3 0 4 2 3 2 2 1 1 2 1 2 0 
000007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000008	0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 1 0 0 
000009	0 0 0 0 2 0 1 0 0 0 1 0 0 1 2 3 0 1 4 0 
000010	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000011	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 
000012	1 2 0 1 0 1 1 0 3 3 1 1 2 2 1 1 0 1 0 0 
000014	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000016	6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000017	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000018	0 0 0 0 0 0 0 0 0 0 0 0 5 2 1 2 4 1 1 0 
000019	0 0 0 0 0 0 1 0 0 3 2 1 0 0 0 0 0 0 0 0 
000020	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000021	0 0 1 0 0 3 2 2 0 2 3 7 0 2 6 3 8 2 0 1 
000022	0 0 2 0 0 0 2 0 0 0 0 0 0 0 1 2 2 4 1 4 
000023	0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
000025	0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 
000026	1 3 3 3 2 2 2 1 0 0 3 1 0 0 0 4 2 1 0 1 
000027	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000028	0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 
000029	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000030	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 
000031	3 1 5 4 3 0 1 3 4 6 6 6 1 2 1 2 2 2 0 0 
000032	0 0 0 0 0 0 0 0 0 1 3 0 0 0 1 2 0 0 0 0 
000034	0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 1 0 
000035	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 
000036	0 0 0 1 0 0 0 0 0 0 8 0 2 0 2 0 3 2 0 0 
000037	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000038	0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0 0 1 0 
000039	0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 2 1 1 0 
000040	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 
000042	0 0 7 1 2 4 2 3 6 3 2 3 3 2 0 1 2 1 1 1 
000043	4 2 3 2 1 1 1 2 1 0 2 5 3 3 0 0 0 0 1 0 
000045	6 1 4 0 0 0 0 2 0 1 1 0 0 1 1 0 0 0 0 0 
000046	4 3 3 1 0 3 2 3 3 1 1 1 2 3 2 0 0 3 1 1 
000048	0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
000049	2 3 2 1 4 2 1 1 3 2 1 0 0 0 1 1 3 0 3 2 
000050	7 6 3 5 6 7 5 6 6 9 7 9 10 11 4 0 4 12 14 4 
000055	0 0 0 0 3 4 5 3 1 2 1 1 4 2 2 2 1 0 3 0 
000056	0 3 0 0 0 1 1 2 3 2 2 2 2 0 1 0 0 2 2 0 
000058	0 0 1 2 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 1 
000059	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000060	1 0 1 2 0 1 1 2 1 4 3 4 0 6 6 5 1 4 4 6 
000061	0 0 0 0 0 0 0 0 0 4 1 1 1 2 2 0 1 1 0 2 
000062	1 1 0 2 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 
000063	14 20 7 11 6 18 19 5 4 11 5 3 7 5 10 8 3 5 10 4 
000065	0 0 0 0 0 2 2 1 1 0 1 0 0 3 0 2 0 2 3 1 
000066	0 0 1 0 2 0 1 2 2 0 1 0 0 0 1 0 0 5 1 1 
000068	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 
000069	0 0 0 15 0 5 6 0 0 6 6 3 1 1 0 1 2 10 9 9 
000070	0 0 0 0 0 0 1 0 0 2 0 3 0 0 2 2 0 0 2 0 
000078	0 0 0 0 0 0 1 0 0 3 3 1 3 2 1 0 0 0 1 0 
000088	0 0 0 0 0 0 0 3 2 0 0 0 0 1 1 1 2 1 0 1 
000089	0 0 3 6 3 5 5 3 6 5 4 10 4 8 8 5 2 6 6 6 
000090	1 0 1 5 3 0 2 8 5 4 4 4 2 3 1 1 1 10 3 4 
000096	0 0 0 1 1 0 1 0 4 1 0 0 0 2 2 1 0 1 0 0 
000099	0 0 0 3 4 4 1 3 0 2 4 0 3 8 2 2 3 2 1 0 
000100	9 7 5 1 6 8 5 3 6 5 2 0 2 4 3 0 5 5 7 6 
000150	2 0 0 1 1 0 0 0 2 0 1 0 1 1 0 0 0 0 0 0 
000151	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 
000153	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000155	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 
000156	1 5 5 3 2 6 0 2 3 4 3 3 4 3 3 2 3 1 1 0 
000157	13 0 6 1 0 0 0 0 0 0 1 2 0 2 4 1 0 0 0 2 
000158	2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
000159	0 0 0 2 0 3 1 0 0 1 1 2 1 0 1 1 2 1 0 0 
000301	0 0 0 2 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 1 
000333	0 0 0 8 9 7 3 7 2 0 5 2 1 4 2 2 2 8 0 4 
000338	0 17 5 23 2 8 6 4 2 8 5 5 4 7 10 15 10 8 19 8 
000400	0 1 1 2 0 1 1 1 1 6 1 3 1 2 3 3 3 1 2 0 
000401	0 0 0 0 2 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 
000402	1 0 2 4 0 10 0 3 1 3 0 1 2 5 6 2 5 6 4 5 
000403	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 
000404	1 2 5 1 0 0 0 1 2 0 1 3 1 1 0 1 2 0 0 0 
000407	1 6 4 3 0 5 3 3 2 1 2 0 2 0 0 2 3 0 0 0 
000408	0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 1 
000409	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000410	1 1 3 1 0 4 3 3 2 1 0 0 0 0 0 0 1 1 0 1 
000411	1 3 1 0 2 2 0 3 0 1 3 2 1 4 2 1 1 1 0 0 
000413	0 0 1 4 2 2 0 1 0 2 0 4 2 0 1 0 0 0 1 1 
000415	0 0 0 0 0 0 0 0 0 0 1 1 1 3 0 0 2 0 0 2 
000417	2 2 0 2 2 1 1 1 2 0 0 1 1 1 0 1 2 2 0 1 
000418	0 0 3 2 1 0 1 5 1 4 5 2 2 1 3 1 0 2 3 2 
000419	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000420	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000421	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000422	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000423	0 0 0 2 2 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 
000425	0 0 2 0 0 5 6 3 3 0 2 3 1 1 4 2 10 8 5 1 
000426	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 
000428	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 
000429	0 0 0 0 0 0 0 0 1 0 0 0 0 4 3 1 4 5 5 1 
000430	1 3 0 1 2 2 1 0 0 1 0 2 0 0 0 0 0 3 0 0 
000488	0 0 2 6 2 1 3 2 3 0 0 0 0 3 0 0 0 0 0 0 
000498	0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 2 4 1 1 
000501	0 0 12 0 1 2 1 1 1 0 3 0 0 0 4 2 1 0 0 0 
000502	0 0 0 0 0 0 0 0 0 0 3 4 2 0 1 0 0 0 0 0 
000503	0 2 11 1 3 0 1 3 3 1 0 2 0 2 0 0 2 0 0 0 
000504	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000505	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
000506	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000507	1 2 1 2 0 2 2 0 1 3 2 3 0 3 0 0 1 5 3 0 
000509	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000510	0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 
000511	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000513	0 1 0 0 1 2 4 4 4 1 4 7 3 4 5 12 3 5 9 8 
000514	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000516	0 0 13 5 4 3 2 3 3 2 1 0 0 1 2 0 0 0 0 0 
000517	0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 1 
